symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 21:00:29.592000-11:00,205000008290,2562,1072,614,694,992
CS2503,2025-02-12 21:00:29.842000-11:00,205000008290,2562,1073,615,694,994
CS2503,2025-02-12 21:00:30.838000-11:00,205000008290,2562,1074,618,696,996
CS2503,2025-02-12 21:00:31.089000-11:00,205000008290,2562,1076,643,707,1012
CS2503,2025-02-12 21:00:31.603000-11:00,205000008290,2562,1087,646,721,1012
CS2503,2025-02-12 21:00:31.859000-11:00,205000008290,2562,1089,649,725,1013
CS2503,2025-02-12 21:00:32.093000-11:00,205000008290,2562,1125,719,828,1016
CS2503,2025-02-12 21:00:32.365000-11:00,205000008290,2562,1126,719,828,1017
CS2503,2025-02-12 21:00:32.603000-11:00,205000008290,2562,1147,751,833,1065
CS2503,2025-02-12 21:00:32.859000-11:00,205000008290,2562,1147,755,833,1069
CS2503,2025-02-12 21:00:33.089000-11:00,205000008290,2562,1165,755,837,1083
CS2503,2025-02-12 21:00:33.362000-11:00,205000008290,2562,1177,756,848,1085
CS2503,2025-02-12 21:00:33.604000-11:00,205000008290,2562,1183,758,848,1093
CS2503,2025-02-12 21:00:33.859000-11:00,205000008290,2562,1183,759,848,1094
CS2503,2025-02-12 21:00:34.361000-11:00,205000008290,2562,1185,759,848,1096
CS2503,2025-02-12 21:00:34.599000-11:00,205000008290,2562,1191,762,848,1105
CS2503,2025-02-12 21:00:34.859000-11:00,205000008290,2562,1192,762,848,1106
CS2503,2025-02-12 21:00:35.356000-11:00,205000008290,2562,1193,775,855,1113
CS2503,2025-02-12 21:00:35.592000-11:00,205000008290,2562,1196,778,857,1117
CS2503,2025-02-12 21:00:36.088000-11:00,205000008290,2562,1196,811,865,1142
CS2503,2025-02-12 21:00:36.362000-11:00,205000008290,2562,1196,826,865,1157
CS2503,2025-02-12 21:00:36.857000-11:00,205000008290,2562,1202,826,867,1161
CS2503,2025-02-12 21:00:37.094000-11:00,205000008290,2562,1204,826,867,1163
CS2503,2025-02-12 21:00:37.589000-11:00,205000008290,2562,1206,830,867,1169
